entity_id,family,current_url,finding_id,finding_heading,finding_text,evidence_class,severity,scope,status,recommendation,dossier_path
TERM-category-1,category,https://www.mariwork.ir/mag/%D8%AF%D8%B3%D8%AA%D9%87%E2%80%8C%D8%A8%D9%86%D8%AF%DB%8C-%D9%86%D8%B4%D8%AF%D9%87/,TERM-category-1-F001,,"- id: TERM-category-1-F001
  severity: P1
  scope: PAGE
  status: BLOCKED
  evidence_class: OBSERVED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-1, pages/category/TERM-category-1.md]
  impact: The requested category URL is unavailable; whether this is an obsolete URL, a broken live category, or an intentional removal is unknown.
  recommendation: INITIAL — verify taxonomy identity, legacy URLs, internal-link sources, GSC/Coverage evidence, and a relevant replacement before considering redirect, restoration, or 410. Do not infer a destination from slug similarity.
  acceptance_criteria: Entity mapping and source evidence support one approved disposition; direct redirect/410 behavior and internal-link cleanup are regression-tested.
  google_basis: GOOGLE_CONSISTENT
  google_reference: https://developers.google.com/search/docs/crawling-indexing/301-redirects
  seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: UNKNOWN_NEEDS_VERIFICATION
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Rank Math version/modules and redirect ownership were not supplied.",OBSERVED,P1,PAGE,BLOCKED,"INITIAL — verify taxonomy identity, legacy URLs, internal-link sources, GSC/Coverage evidence, and a relevant replacement before considering redirect, restoration, or 410. Do not infer a destination from slug similarity.",pages/category/TERM-category-1.md
TERM-category-142,category,https://www.mariwork.ir/mag/history/,TERM-category-142-F001,,"- id: TERM-category-142-F001
  severity: P2
  scope: PAGE
  status: OPEN
  evidence_class: OBSERVED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-142, pages/category/TERM-category-142.md]
  impact: The page has an empty meta description, leaving snippet generation to other page content.
  recommendation: INITIAL — after intent/ownership review, consider an accurate, page-specific description through the verified SEO owner; do not draft final metadata in Round 1.
  acceptance_criteria: Approved description is consistent with visible archive content, current canonical, and one verified owner.
  google_basis: GOOGLE_CONSISTENT
  google_reference: https://developers.google.com/search/docs/appearance/snippet
  seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: RANK_MATH if capability is verified
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Installed Rank Math version/modules and current meta owner were not supplied.",OBSERVED,P2,PAGE,OPEN,"INITIAL — after intent/ownership review, consider an accurate, page-specific description through the verified SEO owner",pages/category/TERM-category-142.md
TERM-category-142,category,https://www.mariwork.ir/mag/history/,TERM-category-142-F002,,"- id: TERM-category-142-F002
  severity: P2
  scope: PAGE
  status: OPEN
  evidence_class: MEASURED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-142]
  impact: 3 of 5 reported images lack ALT; image meaning/decorative status was not independently verified.
  recommendation: INITIAL — review each image role; add descriptive ALT only for informative images and retain empty ALT for decorative images.
  acceptance_criteria: Image-by-image informative/decorative decisions and accurate ALT output are reviewed; no invented descriptions.
  google_basis: GOOGLE_RECOMMENDED
  google_reference: https://developers.google.com/search/docs/appearance/google-images
  seo_owner_current: CONTENT/UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: CONTENT for ALT decisions
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Image/template ownership was not supplied.",MEASURED,P2,PAGE,OPEN,INITIAL — review each image role,pages/category/TERM-category-142.md
TERM-category-18,category,https://www.mariwork.ir/mag/artists/,TERM-category-18-F001,,"- id: TERM-category-18-F001
  severity: P1
  scope: FAMILY
  status: BLOCKED
  evidence_class: MEASURED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-18, pages/category/TERM-category-18.md, registry/SYSTEMIC-FINDINGS.md#SYS-012]
  impact: The URL is publicly reachable but presents no category items; its current noindex/no-canonical policy and lifecycle are not tied to an approved family decision.
  recommendation: INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value; then use one approved family-level path. Do not mass-change controls from this audit.
  acceptance_criteria: Complete category-family inventory records item count, intended indexability, canonical/robots/sitemap behavior, replacement mapping where needed, Rank Math ownership, and regression examples.
  google_basis: GOOGLE_CONSISTENT
  google_reference: https://developers.google.com/search/docs/crawling-indexing/soft-404-errors
  seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: RANK_MATH where capability is verified; otherwise UNKNOWN_NEEDS_VERIFICATION
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Installed Rank Math version/modules and taxonomy owner were not supplied.",MEASURED,P1,FAMILY,BLOCKED,"INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value",pages/category/TERM-category-18.md
TERM-category-1955,category,https://www.mariwork.ir/mag/cultural/,TERM-category-1955-F001,,"- id: TERM-category-1955-F001
  severity: P1
  scope: FAMILY
  status: BLOCKED
  evidence_class: MEASURED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-1955, pages/category/TERM-category-1955.md, registry/SYSTEMIC-FINDINGS.md#SYS-012]
  impact: The URL is publicly reachable but presents no category items; its current noindex/no-canonical policy and lifecycle are not tied to an approved family decision.
  recommendation: INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value; then use one approved family-level path. Do not mass-change controls from this audit.
  acceptance_criteria: Complete category-family inventory records item count, intended indexability, canonical/robots/sitemap behavior, replacement mapping where needed, Rank Math ownership, and regression examples.
  google_basis: GOOGLE_CONSISTENT
  google_reference: https://developers.google.com/search/docs/crawling-indexing/soft-404-errors
  seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: RANK_MATH where capability is verified; otherwise UNKNOWN_NEEDS_VERIFICATION
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Installed Rank Math version/modules and taxonomy owner were not supplied.",MEASURED,P1,FAMILY,BLOCKED,"INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value",pages/category/TERM-category-1955.md
TERM-category-1956,category,https://www.mariwork.ir/mag/guides/,TERM-category-1956-F001,,"- id: TERM-category-1956-F001
  severity: P1
  scope: FAMILY
  status: BLOCKED
  evidence_class: MEASURED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-1956, pages/category/TERM-category-1956.md, registry/SYSTEMIC-FINDINGS.md#SYS-012]
  impact: The URL is publicly reachable but presents no category items; its current noindex/no-canonical policy and lifecycle are not tied to an approved family decision.
  recommendation: INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value; then use one approved family-level path. Do not mass-change controls from this audit.
  acceptance_criteria: Complete category-family inventory records item count, intended indexability, canonical/robots/sitemap behavior, replacement mapping where needed, Rank Math ownership, and regression examples.
  google_basis: GOOGLE_CONSISTENT
  google_reference: https://developers.google.com/search/docs/crawling-indexing/soft-404-errors
  seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: RANK_MATH where capability is verified; otherwise UNKNOWN_NEEDS_VERIFICATION
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Installed Rank Math version/modules and taxonomy owner were not supplied.",MEASURED,P1,FAMILY,BLOCKED,"INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value",pages/category/TERM-category-1956.md
TERM-category-1957,category,https://www.mariwork.ir/mag/literature/,TERM-category-1957-F001,,"- id: TERM-category-1957-F001
  severity: P1
  scope: FAMILY
  status: BLOCKED
  evidence_class: MEASURED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-1957, pages/category/TERM-category-1957.md, registry/SYSTEMIC-FINDINGS.md#SYS-012]
  impact: The URL is publicly reachable but presents no category items; its current noindex/no-canonical policy and lifecycle are not tied to an approved family decision.
  recommendation: INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value; then use one approved family-level path. Do not mass-change controls from this audit.
  acceptance_criteria: Complete category-family inventory records item count, intended indexability, canonical/robots/sitemap behavior, replacement mapping where needed, Rank Math ownership, and regression examples.
  google_basis: GOOGLE_CONSISTENT
  google_reference: https://developers.google.com/search/docs/crawling-indexing/soft-404-errors
  seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: RANK_MATH where capability is verified; otherwise UNKNOWN_NEEDS_VERIFICATION
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Installed Rank Math version/modules and taxonomy owner were not supplied.",MEASURED,P1,FAMILY,BLOCKED,"INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value",pages/category/TERM-category-1957.md
TERM-category-1982,category,https://www.mariwork.ir/mag/uncategorized/,TERM-category-1982-F001,,"- id: TERM-category-1982-F001
  severity: P1
  scope: FAMILY
  status: BLOCKED
  evidence_class: MEASURED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-1982, pages/category/TERM-category-1982.md, registry/SYSTEMIC-FINDINGS.md#SYS-012]
  impact: The URL is publicly reachable but presents no category items; its current noindex/no-canonical policy and lifecycle are not tied to an approved family decision.
  recommendation: INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value; then use one approved family-level path. Do not mass-change controls from this audit.
  acceptance_criteria: Complete category-family inventory records item count, intended indexability, canonical/robots/sitemap behavior, replacement mapping where needed, Rank Math ownership, and regression examples.
  google_basis: GOOGLE_CONSISTENT
  google_reference: https://developers.google.com/search/docs/crawling-indexing/soft-404-errors
  seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: RANK_MATH where capability is verified; otherwise UNKNOWN_NEEDS_VERIFICATION
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Installed Rank Math version/modules and taxonomy owner were not supplied.",MEASURED,P1,FAMILY,BLOCKED,"INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value",pages/category/TERM-category-1982.md
TERM-category-1983,category,https://www.mariwork.ir/mag/free/,TERM-category-1983-F001,,"- id: TERM-category-1983-F001
  severity: P1
  scope: FAMILY
  status: BLOCKED
  evidence_class: MEASURED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-1983, pages/category/TERM-category-1983.md, registry/SYSTEMIC-FINDINGS.md#SYS-012]
  impact: The URL is publicly reachable but presents no category items; its current noindex/no-canonical policy and lifecycle are not tied to an approved family decision.
  recommendation: INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value; then use one approved family-level path. Do not mass-change controls from this audit.
  acceptance_criteria: Complete category-family inventory records item count, intended indexability, canonical/robots/sitemap behavior, replacement mapping where needed, Rank Math ownership, and regression examples.
  google_basis: GOOGLE_CONSISTENT
  google_reference: https://developers.google.com/search/docs/crawling-indexing/soft-404-errors
  seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: RANK_MATH where capability is verified; otherwise UNKNOWN_NEEDS_VERIFICATION
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Installed Rank Math version/modules and taxonomy owner were not supplied.",MEASURED,P1,FAMILY,BLOCKED,"INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value",pages/category/TERM-category-1983.md
TERM-category-1984,category,https://www.mariwork.ir/mag/general/,TERM-category-1984-F001,,"- id: TERM-category-1984-F001
  severity: P1
  scope: FAMILY
  status: BLOCKED
  evidence_class: MEASURED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-1984, pages/category/TERM-category-1984.md, registry/SYSTEMIC-FINDINGS.md#SYS-012]
  impact: The URL is publicly reachable but presents no category items; its current noindex/no-canonical policy and lifecycle are not tied to an approved family decision.
  recommendation: INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value; then use one approved family-level path. Do not mass-change controls from this audit.
  acceptance_criteria: Complete category-family inventory records item count, intended indexability, canonical/robots/sitemap behavior, replacement mapping where needed, Rank Math ownership, and regression examples.
  google_basis: GOOGLE_CONSISTENT
  google_reference: https://developers.google.com/search/docs/crawling-indexing/soft-404-errors
  seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: RANK_MATH where capability is verified; otherwise UNKNOWN_NEEDS_VERIFICATION
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Installed Rank Math version/modules and taxonomy owner were not supplied.",MEASURED,P1,FAMILY,BLOCKED,"INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value",pages/category/TERM-category-1984.md
